FEN,Response Move
1k1r3R/pp1nn1p1/2q1p3/1N1p2P1/3P4/1PN1pP2/P1K5/R4B2 b - - 0 22,d8h8
1k1r3r/1p4b1/p3q2p/2Q2pP1/2N5/P2P1B2/1PP2P2/2K3RR b - - 2 22,d8c8
1k1r3r/2pQnp2/Bp5p/p3PbpN/8/P3P3/1P3PPP/R4RK1 b - - 0 18,d8d7
1k1r3r/2pn4/Bp2q3/3p1bp1/3P3p/1QP1P1B1/1R3PPP/5RK1 w - - 0 22,g3c7
1k1r3r/2pn4/Bp2q3/3p1bpp/3P4/1QP1P1B1/1R3PPP/4K2R w K - 0 21,e1g1
1k1r3r/p1pn3p/Bp2q3/3p1bp1/P2P4/1QP1P1B1/1R3PPP/4K2R w K - 1 19,a4a5
1k1r3r/p1pn4/Bp2q3/P2p1bpp/3P4/1QP1P1B1/1R3PPP/4K2R w K - 0 20,a5b6
1k1r3r/p1pnq1pp/Bp2b3/3pB3/3P4/PQP1P3/5PPP/1R2K2R w K - 2 16,e5g3
1k1r3r/p1pnq1pp/Bp6/3p1b2/3P4/PQP1P1B1/5PPP/1R2K2R w K - 4 17,b1b2
1k1r3r/p1pnq2p/Bp6/3p1bp1/3P4/PQP1P1B1/1R3PPP/4K2R w K - 0 18,a3a4
1k1r3r/pp1nn1p1/2q1p3/1N1p2P1/3P1p2/1PN1PP1R/P1K5/R4B2 b - - 2 21,f4e3
1k1r3r/pp1nn1p1/3qp3/1N1p2P1/3P1p2/1P2PP1R/P1K1N3/R4B2 b - - 0 20,d6c6
1k1r3r/pp1nn1pb/3qp3/1N1p2P1/3P1p2/1P2PP1R/P1Q1N3/R2K1B2 b - - 1 19,h7c2
1k1r3r/pp1nn1pb/3qp3/3p1pP1/3P4/NP2PP1R/P1Q1N3/R2K1B2 b - - 2 18,f5f4
1k1r3r/pp2n3/3p1p2/8/3pP1pP/3P2B1/PPRK2P1/2R5 b - - 5 22,e7c6
1k1r3r/pp3ppp/3pb3/4p2P/P3P1P1/2KP1P2/4N3/R4B1R b - - 2 21,d8c8
1k1r3r/pp6/2np1p2/7P/3pP3/3P2p1/PPRK2P1/5RB1 b - - 3 26,h8h5
